#,dist(asec),prob_member,link_ref,link_comment,identifier,typ,coord1_(ICRS_J2000/2000),Mag_U,Mag_B,Mag_V,Mag_R,Mag_I,spec_type,#bib,#not,RA,Dec
75,101.41,100,2001A&A...373..159C,B,2MASS J19535351+1847033,RG*,19 53 53.514 +18 47 03.36,~,14.183,12.393,~,~,M3,21,0,298.472974999,18.7842666666
76,79.83,80,2010A&A...513A..16H,S,[P2009] NGC 6838-1,XB*,19 53 42.62 +18 45 47.2,~,~,~,~,16.32,~,2,0,298.427583333,18.7631111111
77,102.84,69,2008A&A...486..941A,B,Cl* NGC 6838 KC 196,*iC,19 53 52.7 +18 47 38,~,16.77,15.60,~,~,~,4,0,298.469583333,18.7938888888
78,173.99,100,2009A&A...505..117C,B,2MASS J19535764+1847570,RG*,19 53 57.644 +18 47 57.09,~,14.896,13.563,~,~,~,5,0,298.490183333,18.7991916666
79,45.3,92,2008A&A...486..941A,B,Cl* NGC 6838 ASC 1325,*iC,19 53 44.328 +18 47 18.41,~,15.59,14.48,~,~,~,4,0,298.434699999,18.7884472222
80,194.26,100,2008ApJ...682.1217K,B,[KGS2008] J195332.9+184623,RG*,19 53 32.9 +18 46 23,~,12.79,11.66,~,10.55,~,1,0,298.387083333,18.7730555555
81,107.67,100,2009A&A...505..139C,B,2MASS J19535150+1848059,RG*,19 53 51.501 +18 48 05.91,~,14.081,12.339,9.7,~,M0:,32,0,298.4645875,18.8016416666
82,131.56,100,2011AJ....142..126S,B,2MASS J19534178+1848384,RG*,19 53 41.788 +18 48 38.46,~,15.9,14.59,~,~,G...,18,0,298.424116666,18.8106833333
83,60.24,0,2010A&A...513A..16H,S,[HBE2010] s24,X,19 53 49.81 +18 46 07.6,~,20.3,~,~,18.16,~,1,0,298.457541666,18.7687777777
84,234.66,100,2009MNRAS.393..272W,B,2MASS J19533399+1849186,RG*,19 53 33.996 +18 49 18.69,~,~,~,~,~,~,1,0,298.391649999,18.8218583333
85,50.31,89,2008A&A...486..941A,B,Cl* NGC 6838 ASC 2001,*iC,19 53 43.6 +18 46 16,~,15.2,14.33,~,~,~,3,0,298.431666666,18.7711111111
86,103.77,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 2013,*iC,19 53 49.6 +18 48 19,~,~,~,~,~,~,1,0,298.456666666,18.8052777777
87,112.13,92,2008A&A...486..941A,B,Cl* NGC 6838 ASC 484,*iC,19 53 48.708 +18 48 32.72,~,15.42,14.34,~,~,~,3,0,298.452949999,18.8090888888
88,192.41,100,2009A&A...505..117C,B,2MASS J19533918+1844030,RG*,19 53 39.188 +18 44 03.04,~,15.312,13.972,~,~,~,1,0,298.413283333,18.7341777777
89,45.47,100,2008ApJ...682.1217K,B,2MASS J19534874+1847174,RG*,19 53 48.743 +18 47 17.41,~,14.55,13.72,~,12.78,~,14,0,298.453095833,18.7881694444
90,89.43,80,2010A&A...513A..16H,S,2MASS J19535278+1846475,CV*,19 53 52.785 +18 46 47.54,21.0,~,~,~,20.76,~,1,0,298.469937499,18.7798722222
91,32.57,100,2008ApJ...682.1217K,B,[KGS2008] J195347.4+184715,RG*,19 53 47.4 +18 47 15,~,14.24,13.45,~,12.55,~,1,0,298.447499999,18.7875
92,170.29,0,2009MNRAS.393..272W,B,2MASS J19534203+1849231,*,19 53 42.030 +18 49 23.18,~,~,~,~,~,~,1,0,298.425125,18.8231055555
93,90.75,100,2009A&A...505..117C,B,2MASS J19534157+1847430,RG*,19 53 41.571 +18 47 43.03,~,16.14,14.85,~,~,~,23,0,298.423212499,18.7952861111
94,35.32,80,2010A&A...513A..16H,S,[HBE2010] s19c,XB?,19 53 48.86 +18 46 34.4,~,~,~,~,20.04,~,1,0,298.453583333,18.7762222222
95,162.86,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 6786,*iC,19 53 50.4 +18 44 12,~,~,~,~,~,~,1,0,298.459999999,18.7366666666
96,144.09,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 8076,*iC,19 53 55.9 +18 47 39,~,~,~,~,~,~,1,0,298.482916666,18.7941666666
97,148.02,100,2008ApJ...682.1217K,B,[KGS2008] J195336.4+184608,RG*,19 53 36.4 +18 46 08,~,15.19,14.19,~,13.10,~,1,0,298.401666666,18.7688888888
98,35.01,80,2010A&A...513A..16H,S,[HBE2010] s19b,XB?,19 53 48.83 +18 46 34.1,19.52,18.93,~,~,18.05,~,1,0,298.453458333,18.7761388888
99,97.61,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 1161,*iC,19 53 48.6 +18 48 18,~,~,~,~,~,~,1,0,298.4525,18.805
100,60.75,100,2009A&A...505..117C,B,2MASS J19534253+1847083,RG*,19 53 42.538 +18 47 08.35,~,15.99,14.79,~,~,G...,16,0,298.427241666,18.7856527777
101,84.08,93,2008A&A...486..941A,B,[KGS2008] J195343.2+184755,RG*,19 53 43.2 +18 47 55,~,15.40,14.56,~,13.62,~,5,0,298.429999999,18.7986111111
102,241.94,100,2011AJ....141...89S,B,[SLB2011b] 298.51460+18.78293,*,19 54 03.50 +18 46 58.5,~,~,~,~,~,~,1,0,298.514583333,18.7829166666
